review_bucket,article_id,account,published_at,title,article_type_name,classification_confidence,matched_keywords,topic_tags,suggested_type,review_result,review_note,raw_path
按类型抽检:会议报道,3887,中国民主同盟,2017-12-06,中国民主同盟第十二次全国代表大会开幕 栗战书代表中共中央致贺词,会议报道,82,常委会、代表大会,参政议政、社会服务、宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2017-12-06_中国民主同盟第十二次全国代表大会开幕 栗战书代表中共中央致贺词_5e8efb58cc16.md
按类型抽检:会议报道,5335,中国民主同盟,2018-09-17,张平副主席出席庆祝宁夏回族自治区成立60周年暨民盟宁夏区委会成立60周年座谈会,会议报道,90,会议、常委会、座谈会,上海民盟、参政议政、主题教育、组织建设、社会服务,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2018-09-17_张平副主席出席庆祝宁夏回族自治区成立60周年暨民盟宁夏区委会成立60周年座谈会_3b60db3bab9a.md
按类型抽检:会议报道,6893,中国民主同盟,2019-06-14,民盟组织工作会议在合肥召开,会议报道,95,会议、常委会、工作会,上海民盟、参政议政、组织建设,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2019-06-14_民盟组织工作会议在合肥召开_c59633a58903.md
按类型抽检:会议报道,2040,上海民盟,2020-02-17,盟员随笔丨我和我的急诊同事们,会议报道,66,会议、工作会,上海民盟、组织建设、宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2020-02-17_盟员随笔丨我和我的急诊同事们_d678e02e67de.md
按类型抽检:会议报道,687,上海民盟,2020-10-10,今天，丁仲礼主席出席第十一届民盟文化论坛，和盟员们一起谈谈“文化创新”,会议报道,66,会议、常委会,民盟史、上海民盟、宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2020-10-10_今天，丁仲礼主席出席第十一届民盟文化论坛，和盟员们一起谈谈“文化创新”_4996104dab9a.md
按类型抽检:会议报道,1680,上海民盟,2021-04-29,民盟中央参政议政工作会议召开，上海民盟荣获多项表彰,会议报道,95,会议、工作会,上海民盟、参政议政、组织建设,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2021-04-29_民盟中央参政议政工作会议召开，上海民盟荣获多项表彰_ad5841799880.md
按类型抽检:会议报道,1548,上海民盟,2021-12-17,来自现场的声音！——文艺界盟员热议中国文联第十一次全国代表大会,会议报道,82,会议、代表大会,上海民盟、宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2021-12-17_来自现场的声音！——文艺界盟员热议中国文联第十一次全国代表大会_284ae5768b93.md
按类型抽检:会议报道,6909,中国民主同盟,2022-06-17,民盟辽宁省第十四次代表大会召开 郑功成、胡立杰致贺词 刘中民当选主委,会议报道,90,会议、常委会、代表大会,参政议政、主题教育,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2022-06-17_民盟辽宁省第十四次代表大会召开 郑功成、胡立杰致贺词 刘中民当选主委_baa86d3773d2.md
按类型抽检:会议报道,3860,中国民主同盟,2022-10-13,中国共产党第十九届中央委员会第七次全体会议公报,会议报道,82,会议、代表大会,宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2022-10-13_中国共产党第十九届中央委员会第七次全体会议公报_db54b9186cef.md
按类型抽检:会议报道,369,上海民盟,2023-01-16,一图读懂《民盟上海市委五年工作规划（2022-2026）》,会议报道,66,会议、常委会,上海民盟,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2023-01-16_一图读懂《民盟上海市委五年工作规划（2022-2026）》_d076227469c6.md
按类型抽检:会议报道,1463,上海民盟,2023-07-27,推进“人才强盟”战略，民盟市委举行地区组织发展工作会议,会议报道,95,会议、工作会,上海民盟、参政议政、组织建设,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2023-07-27_推进“人才强盟”战略，民盟市委举行地区组织发展工作会议_07eb995961e1.md
按类型抽检:会议报道,6343,中国民主同盟,2024-03-22,民盟中央召开“加大创新力度，提升完善现代商贸流通体系”重点考察调研开题会,会议报道,95,会议、常委会、座谈会、开题会,上海民盟、参政议政,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2024-03-22_民盟中央召开“加大创新力度，提升完善现代商贸流通体系”重点考察调研开题会_f8b74ade85e8.md
按类型抽检:会议报道,5516,中国民主同盟,2024-10-14,徐星在民盟中央机关作“人文·科学”讲堂辅导报告,会议报道,58,常委会,参政议政、宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2024-10-14_徐星在民盟中央机关作“人文·科学”讲堂辅导报告_d43fff8787c9.md
按类型抽检:会议报道,3352,中国民主同盟,2025-04-24,《群言》创刊40周年纪念会暨2025年度群言理事会议在重庆召开,会议报道,82,会议、常委会,参政议政、宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2025-04-24_《群言》创刊40周年纪念会暨2025年度群言理事会议在重庆召开_420089cac21d.md
按类型抽检:会议报道,1855,上海民盟,2025-12-20,民盟浦东区委召开民盟中央信息直报点信息员工作会议,会议报道,95,会议、工作会,上海民盟、参政议政、组织建设,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2025-12-20_民盟浦东区委召开民盟中央信息直报点信息员工作会议_4d3c43245a10.md
按类型抽检:其他/待判,2932,中国民主同盟,2015-07-15,《七子之歌》节选,其他/待判,0,,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2015-07-15_《七子之歌》节选_fd0bde35ee6c.md
按类型抽检:其他/待判,4061,中国民主同盟,2017-02-03,今日立春 | 请您欣赏民盟美术家笔下的春,其他/待判,0,,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2017-02-03_今日立春 _ 请您欣赏民盟美术家笔下的春_84c7965393ad.md
按类型抽检:其他/待判,9073,群言杂志,2017-08-10,每战胜一次灾难，便能看到一缕光明,其他/待判,0,,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2017-08-10_每战胜一次灾难，便能看到一缕光明_ad7fcbb2dc8d.md
按类型抽检:其他/待判,4116,中国民主同盟,2017-12-10,代表访谈微视频 | 民盟河南省委副主委魏世忠,其他/待判,0,,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2017-12-10_代表访谈微视频 _ 民盟河南省委副主委魏世忠_37338b912301.md
按类型抽检:其他/待判,8541,群言杂志,2019-04-24,“鹤岗”热搜冷思考：欧美经验如何让“居者有其屋”,其他/待判,0,,上海民盟,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2019-04-24_“鹤岗”热搜冷思考：欧美经验如何让“居者有其屋”_5105d46f0b5b.md
按类型抽检:其他/待判,2799,上海民盟,2020-01-25,鼠年快乐！民盟市委为广大盟员送上“新春福袋”,其他/待判,0,,上海民盟,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/上海民盟/2020-01-25_鼠年快乐！民盟市委为广大盟员送上“新春福袋”_0642a773f0a4.md
按类型抽检:其他/待判,4931,中国民主同盟,2020-02-26,夜听 | 2020 & 你去了哪里？,其他/待判,0,,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2020-02-26_夜听 _ 2020 & 你去了哪里？_94f85494c59d.md
按类型抽检:其他/待判,4986,中国民主同盟,2020-04-01,夜听丨 保卫大武汉,其他/待判,0,,,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2020-04-01_夜听丨 保卫大武汉_da85e92266a2.md
按类型抽检:其他/待判,8629,群言杂志,2020-07-22,从反性侵到性别平等——社会共识的进步与未竟,其他/待判,0,,宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/群言杂志/2020-07-22_从反性侵到性别平等——社会共识的进步与未竟_db9dc32fb95e.md
按类型抽检:其他/待判,5916,中国民主同盟,2021-03-08,最美好的祝福送给你！,其他/待判,0,,宣传写作,,,,/Users/cheer/Documents/mllm-wiki-kb/data/raw/中国民主同盟/2021-03-08_最美好的祝福送给你！_b1d562c9b0af.md
